"id","survived","pclass","sex","age","sibsp","parch","fare","embarked","farelevel"
"1","N","P3","male",22,1,0,7.25,"S","L"
"2","Y","P1","female",38,1,0,71.2833,"C","L"
"3","Y","P3","female",26,0,0,7.925,"S","L"
"4","Y","P1","female",35,1,0,53.1,"S","L"
"5","N","P3","male",35,0,0,8.05,"S","L"
"6","N","P3","male",?,0,0,8.4583,"Q","L"
"7","N","P1","male",54,0,0,51.8625,"S","L"
"8","N","P3","male",2,3,1,21.075,"S","L"
"9","Y","P3","female",27,0,2,11.1333,"S","L"
"10","Y","P2","female",14,1,0,30.0708,"C","L"
"11","Y","P3","female",4,1,1,16.7,"S","L"
"12","Y","P1","female",58,0,0,26.55,"S","L"
"13","N","P3","male",20,0,0,8.05,"S","L"
"14","N","P3","male",39,1,5,31.275,"S","L"
"15","N","P3","female",14,0,0,7.8542,"S","L"
"16","Y","P2","female",55,0,0,16,"S","L"
"17","N","P3","male",2,4,1,29.125,"Q","L"
"18","Y","P2","male",?,0,0,13,"S","L"
"19","N","P3","female",31,1,0,18,"S","L"
"20","Y","P3","female",?,0,0,7.225,"C","L"
"21","N","P2","male",35,0,0,26,"S","L"
"22","Y","P2","male",34,0,0,13,"S","L"
"23","Y","P3","female",15,0,0,8.0292,"Q","L"
"24","Y","P1","male",28,0,0,35.5,"S","L"
"25","N","P3","female",8,3,1,21.075,"S","L"
"26","Y","P3","female",38,1,5,31.3875,"S","L"
"27","N","P3","male",?,0,0,7.225,"C","L"
"28","N","P1","male",19,3,2,263,"S","H"
"29","Y","P3","female",?,0,0,7.8792,"Q","L"
"30","N","P3","male",?,0,0,7.8958,"S","L"
"31","N","P1","male",40,0,0,27.7208,"C","L"
"32","Y","P1","female",?,1,0,146.5208,"C","H"
"33","Y","P3","female",?,0,0,7.75,"Q","L"
"34","N","P2","male",66,0,0,10.5,"S","L"
"35","N","P1","male",28,1,0,82.1708,"C","L"
"36","N","P1","male",42,1,0,52,"S","L"
"37","Y","P3","male",?,0,0,7.2292,"C","L"
"38","N","P3","male",21,0,0,8.05,"S","L"
"39","N","P3","female",18,2,0,18,"S","L"
"40","Y","P3","female",14,1,0,11.2417,"C","L"
"41","N","P3","female",40,1,0,9.475,"S","L"
"42","N","P2","female",27,1,0,21,"S","L"
"43","N","P3","male",?,0,0,7.8958,"C","L"
"44","Y","P2","female",3,1,2,41.5792,"C","L"
"45","Y","P3","female",19,0,0,7.8792,"Q","L"
"46","N","P3","male",?,0,0,8.05,"S","L"
"47","N","P3","male",?,1,0,15.5,"Q","L"
"48","Y","P3","female",?,0,0,7.75,"Q","L"
"49","N","P3","male",?,2,0,21.6792,"C","L"
"50","N","P3","female",18,1,0,17.8,"S","L"
"51","N","P3","male",7,4,1,39.6875,"S","L"
